month,category,total_visits,record_count,unique_stores,mean_daily_visits,data_type
2023-03-01,Securities and Commodity Contracts Intermediation and Brokerage,48108,3658,118,13.15,derived
2023-04-01,Securities and Commodity Contracts Intermediation and Brokerage,42970,3570,119,12.04,derived
2023-05-01,Securities and Commodity Contracts Intermediation and Brokerage,50274,3689,119,13.63,derived
2023-06-01,Securities and Commodity Contracts Intermediation and Brokerage,48335,3660,122,13.21,derived
2023-07-01,Securities and Commodity Contracts Intermediation and Brokerage,46648,3782,122,12.33,derived
2023-08-01,Securities and Commodity Contracts Intermediation and Brokerage,50016,3782,122,13.22,derived
2023-09-01,Securities and Commodity Contracts Intermediation and Brokerage,46068,3660,122,12.59,derived
2023-10-01,Securities and Commodity Contracts Intermediation and Brokerage,48407,3875,125,12.49,derived
2023-11-01,Securities and Commodity Contracts Intermediation and Brokerage,47131,3750,125,12.57,derived
2023-12-01,Securities and Commodity Contracts Intermediation and Brokerage,49197,3720,120,13.23,derived
2024-01-01,Securities and Commodity Contracts Intermediation and Brokerage,44127,3658,118,12.06,derived
2024-02-01,Securities and Commodity Contracts Intermediation and Brokerage,43879,3422,118,12.82,derived
2024-03-01,Securities and Commodity Contracts Intermediation and Brokerage,44672,3658,118,12.21,derived
2024-04-01,Securities and Commodity Contracts Intermediation and Brokerage,46515,3540,118,13.14,derived
2024-05-01,Securities and Commodity Contracts Intermediation and Brokerage,40290,3038,98,13.26,derived
2024-06-01,Securities and Commodity Contracts Intermediation and Brokerage,35015,3000,100,11.67,derived
2024-07-01,Securities and Commodity Contracts Intermediation and Brokerage,40333,3100,100,13.01,derived
2024-08-01,Securities and Commodity Contracts Intermediation and Brokerage,41094,3131,101,13.12,derived
2024-09-01,Securities and Commodity Contracts Intermediation and Brokerage,39498,3030,101,13.04,derived
2024-10-01,Securities and Commodity Contracts Intermediation and Brokerage,42416,3193,103,13.28,derived
2024-11-01,Securities and Commodity Contracts Intermediation and Brokerage,37083,3060,102,12.12,derived
2024-12-01,Securities and Commodity Contracts Intermediation and Brokerage,44006,3193,103,13.78,derived
2020-01-01,Services to Buildings and Dwellings,88389,6882,222,12.84,derived
2020-02-01,Services to Buildings and Dwellings,80981,6438,222,12.58,derived
2020-03-01,Services to Buildings and Dwellings,48363,6882,222,7.03,derived
2020-04-01,Services to Buildings and Dwellings,1204,6660,222,0.18,derived
2020-05-01,Services to Buildings and Dwellings,36461,6882,222,5.3,derived
2020-06-01,Services to Buildings and Dwellings,66545,6660,222,9.99,derived
2020-07-01,Services to Buildings and Dwellings,66940,6882,222,9.73,derived
2020-08-01,Services to Buildings and Dwellings,64188,6882,222,9.33,derived
2020-09-01,Services to Buildings and Dwellings,64580,6660,222,9.7,derived
2020-10-01,Services to Buildings and Dwellings,67717,6882,222,9.84,derived
2020-11-01,Services to Buildings and Dwellings,70952,6660,222,10.65,derived
2020-12-01,Services to Buildings and Dwellings,73626,6882,222,10.7,derived
2021-01-01,Services to Buildings and Dwellings,53625,6882,222,7.79,derived
2021-02-01,Services to Buildings and Dwellings,48256,6216,222,7.76,derived
2021-03-01,Services to Buildings and Dwellings,77067,6913,223,11.15,derived
2021-04-01,Services to Buildings and Dwellings,79427,6630,221,11.98,derived
2021-05-01,Services to Buildings and Dwellings,79142,6820,220,11.6,derived
2021-06-01,Services to Buildings and Dwellings,78963,6600,220,11.96,derived
2021-07-01,Services to Buildings and Dwellings,82064,6820,220,12.03,derived
2021-08-01,Services to Buildings and Dwellings,80167,6820,220,11.75,derived
2021-09-01,Services to Buildings and Dwellings,76700,6570,219,11.67,derived
2021-10-01,Services to Buildings and Dwellings,73961,6789,219,10.89,derived
2021-11-01,Services to Buildings and Dwellings,82497,6690,223,12.33,derived
2021-12-01,Services to Buildings and Dwellings,86229,6913,223,12.47,derived
2022-01-01,Services to Buildings and Dwellings,68101,6913,223,9.85,derived
2022-02-01,Services to Buildings and Dwellings,65783,6244,223,10.54,derived
2022-03-01,Services to Buildings and Dwellings,79793,6882,222,11.59,derived
2022-04-01,Services to Buildings and Dwellings,77729,6660,222,11.67,derived
2022-05-01,Services to Buildings and Dwellings,81180,6882,222,11.8,derived
2022-06-01,Services to Buildings and Dwellings,79982,6690,223,11.96,derived
2022-07-01,Services to Buildings and Dwellings,78450,6944,224,11.3,derived
2022-08-01,Services to Buildings and Dwellings,83628,6944,224,12.04,derived
2022-09-01,Services to Buildings and Dwellings,77076,6720,224,11.47,derived
2022-10-01,Services to Buildings and Dwellings,74157,6975,225,10.63,derived
2022-11-01,Services to Buildings and Dwellings,79973,6780,226,11.8,derived
2022-12-01,Services to Buildings and Dwellings,92173,7378,238,12.49,derived
2023-01-01,Services to Buildings and Dwellings,76822,7409,239,10.37,derived
2023-02-01,Services to Buildings and Dwellings,69783,6636,237,10.52,derived
2023-03-01,Services to Buildings and Dwellings,83680,7316,236,11.44,derived
