BRAND_ID,TOTAL_REVENUE,TOTAL_TRANS,AVG_SPEND_PER_TRANS
10587,39412.7332,1129.7083,34.89
10588,333.4691,63.7556,5.23
10591,3394637.3762,63527.0221,53.44
10592,4296355.9996,282430.7958,15.21
10594,21909579.1104,332290.9452,65.93
10595,241557500.4144,2967506.1214,81.4
10596,2386.7146,42.337199999999996,56.37
10597,388761587.7384,21339491.6765,18.22
10598,7024782.384,64960.9011,108.14
10600,57697715.910900004,1240151.3339,46.52
10603,10353427.2977,12178.442299999999,850.14
10605,1034214730.4813,57404089.613,18.02
10606,92124.4468,156.596,588.29
10607,20589259.3923,164605.2659,125.08
10608,1614373.1246,15557.673999999999,103.77
10610,1661271.5189,87824.7374,18.92
10611,146580411.1322,157050.5117,933.33
10612,4935848.8916,111873.7943,44.12
10613,1302238.1468,25192.1311,51.69
10616,25989366.4395,656646.1231,39.58
10617,159619686.3412,9113087.7047,17.52
10618,17002359.3106,380093.0123,44.73
10620,9366098.8268,406243.5314,23.06
10621,19664.9776,1509.5814,13.03
10622,308.2326,39.6941,7.77
10623,129468526.9475,5969261.1248,21.69
10624,127506.2195,5173.9825,24.64
10626,3831880.0607,379165.6238,10.11
10628,48169539.4046,3292417.1937,14.63
10631,1853951.5233,8856.3345,209.34
10632,75037345.8723,4492295.1635,16.7
10633,58707629.2109,1496036.6105,39.24
10634,92794527.0631,506790.1326,183.1
10639,50784797.0547,1113131.4689,45.62
10640,6627.4842,148.0822,44.76
10643,53138767.6438,1385680.0684,38.35
10645,12413466.7555,74916.7669,165.7
10646,972279.2645,47376.5322,20.52
10647,3965.0627,12.5559,315.79
10648,1356357.9547000001,13515.8148,100.35
10650,24831758.8203,20838.7187,1191.62
10651,57428.5112,174.151,329.76
10655,7812352.9058,114612.1896,68.16
10658,12255444.3886,66941.5164,183.08
10660,215459.9268,868.6342,248.04
10661,1976647.7245,3180.0449,621.58
10664,704312.7763,2809.8614000000002,250.66
10665,37083077.5268,228183.4078,162.51
10667,100963.3159,383.4632,263.29
10668,1053717.5035,41233.6795,25.55
10669,46697531.3351,5159019.7117,9.05
10671,72173206.62020001,4195428.2816,17.2
10672,2177520.0697,20786.9882,104.75
10675,7572881.2344,3480.9044,2175.55
10676,23791.7395,29.1984,814.83
10678,2814189.2098,44026.783,63.92
10680,62678.511399999996,523.356,119.76
10682,56303723.4585,681465.6925,82.62
10683,2324653006.3616,18073278.4565,128.62
10685,46249019.5575,269062.1437,171.89
10687,26679789.1161,134862.4324,197.83
10688,26261.895800000002,47.082300000000004,557.79
10691,838.5306,4.36,192.32
10693,288661.6131,2186.2311,132.04
10695,106.2551,3.2948,32.25
10697,602875.4212,2674.6739000000002,225.4
10700,10742641.2997,581771.5804,18.47
10701,1594690.7512,2783.1994,572.97
10702,8464987.113,136519.6098,62.01
10703,151233858.3391,2750163.0297,54.99
10704,18464196.2598,174666.334,105.71
10706,25297769.6957,331713.5077,76.26
10709,3706.7246999999998,124.5249,29.77
10712,1605.1734999999999,20.3039,79.06
10713,176410.6658,3506.5445999999997,50.31
10714,82655.9654,1043.5031000000001,79.21
10715,5886731.0992,327966.7761,17.95
10716,4668950.4814,13870.7213,336.6
10717,13992852.4045,73606.5194,190.1
10718,317.1366,33.0665,9.59
10719,306051.3073,16297.7191,18.78
10720,60111.414600000004,1119.1107,53.71
10721,36166192.4724,89872.402,402.42
10722,560666.8609,16143.2435,34.73
10723,74128644.6072,1167275.2031999999,63.51
10724,869000.0045,565.2367,1537.41
10725,7333108225.205,58491600.8679,125.37
10731,134522.5153,3787.0087,35.52
10732,69.83510000000001,3.1887999999999996,21.9
10733,2185944.6802,19358.1319,112.92
10735,76377.848,7525.4954,10.15
10736,251.5032,31.3423,8.02
10737,5223.4725,33.1926,157.37
10738,181028576.8341,1037544.9471,174.48
10739,16335.9466,901.5568000000001,18.12
10740,7922609.8312,338865.5887,23.38
10741,583192957.98,4869442.9161,119.77
10744,24469.4519,382.2345,64.02
10745,132792242.6882,3635449.6873,36.53
10747,29376923.5117,148415.4848,197.94
10749,16034.3189,198.6872,80.7
10750,1597.0517,22.2086,71.91
10752,130238.0649,192.6217,676.13
10753,241122502.094,3055219.9932,78.92
10755,59697318.0049,851728.8378,70.09
10756,20256706.7214,197927.2559,102.34
10760,723243.0005,1694.6076,426.79
10761,21845151.668899998,142310.6109,153.5
10762,3365143.4244999997,4960.1647,678.43
10764,2694741.8868,6235.18,432.18
10765,2812833.4819,1277.4319,2201.94
10766,51051.1296,3970.0684,12.86
10768,4466841.8263,102189.0309,43.71
10769,1247251.2271,13363.502,93.33
10770,25508794.109,1449762.1771,17.6
10771,98054718.0949,8294394.5877,11.82
10772,1360027.1208,1194.5626,1138.51
10774,1400.934,54.424,25.74
10775,17076938.769,52745.0341,323.76
10776,1801843.5729,29170.8104,61.77
10777,3368.7802,263.8931,12.77
10778,718137419.8478,25439454.93,28.23
10779,12137637.6463,201802.2597,60.15
10781,494996.3776,18363.1097,26.96
10786,2994.0387,201.494,14.86
10788,281473956.8237,21108301.8291,13.33
10789,806.4076,4.7421,170.05
10790,22472406.9182,62347.7531,360.44
10792,18040.7809,745.876,24.19
10794,26140.145800000002,170.844,153.01
10795,276891.9393,1720.9044,160.9
10796,42053.6376,1616.3387,26.02
10797,25459057.2949,472952.5822,53.83
10798,16174571.165199999,35405.1683,456.84
10801,4302.8982,135.7052,31.71
10802,1129330.7314,11693.2397,96.58
10804,647855.9027,3505.0769999999998,184.83
10806,79570799.6172,537021.2848,148.17
10808,4764815.2647,98753.5103,48.25
10809,226556.7621,80.9542,2798.58
10812,4626.112700000001,248.2685,18.63
10814,2322781.5779,15279.3829,152.02
10815,1572943.1359,5581.7609,281.8
10817,238010854.5966,19674770.0137,12.1
10818,14661.1042,90.1481,162.63
10820,338360.4693,16952.287,19.96
10823,12166.1779,842.5154,14.44
10824,4.664,4.23,1.1
10825,143791738.7515,302419.2997,475.47
10827,1981513860.4485,7869561.6614,251.79
10829,14065211.0813,82282.1065,170.94
10835,194741651.7402,5924294.989,32.87
10836,2527349.1198,22927.0092,110.23
10837,74822.909,634.2402,117.97
10838,38048677.5627,229870.8958,165.52
10841,192657.8488,2090.2679,92.17
10842,7122997.0665,40342.7276,176.56
10843,290872.793,19028.559,15.29
10844,3428741.8887,5977.9464,573.57
10845,505502.9683,16705.1887,30.26
10847,900643493.1758,9458432.059799999,95.22
10848,16309.104,7.2653,2244.79
10849,134392.2892,2336.718,57.51
10852,113010556.1744,1675508.0386,67.45
10853,959655158.8982,7963420.0973,120.51
10854,13723813.0709,302568.1104,45.36
10856,1121.9651,46.202,24.28
10857,3216626.0881000003,236713.913,13.59
10858,608722.6609,6325.8804,96.23
10859,320.736,1.617,198.35
10860,90311129.7649,772586.9432,116.89
10861,390950.4053,6012.3502,65.02
10862,1730477.1813,7693.9191,224.91
10865,2661495.1119,6789.1614,392.02
10866,21433.705,372.5245,57.54
10867,433733742.1128,4116528.7589,105.36
10868,35609387.4088,1092465.6764,32.6
10869,1431.1502,129.7588,11.03
10870,407501.559,4602.6512,88.54
10872,434299.7134,7118.8416,61.01
10873,1025082.6137999999,13184.6251,77.75
10875,1447.4348,24.3243,59.51
10877,2136312.502,18501.5528,115.47
10878,6937373.1229,23254.7397,298.32
10880,2916616859.526,138468373.17090002,21.06
10881,1351.7782,47.0636,28.72
10883,3180184.6297,208592.145,15.25
10884,131.1834,8.75,14.99
10888,704167616.4306,23360812.4508,30.14
10889,184.8742,8.2837,22.32
10891,2441446157.7692,72551032.6847,33.65
10893,1596.8077,42.6328,37.45
10894,5654484.8535,34348.6228,164.62
10898,21871038.6592,302730.1455,72.25
10899,2673617.4224,12771.8459,209.34
10901,2205191.4521,37154.8562,59.35
10903,25070.0522,659.8151,38.0
10904,1102.9276,54.488299999999995,20.24
10905,361661114.9443,4755407.1341,76.05
10906,30794155.775,256299.7763,120.15
10907,156405984.4275,7571689.5042,20.66
10912,593385565.5042,65462511.3786,9.06
10913,1302.6428999999998,25.4257,51.23
10914,94126.4037,9251.2211,10.17
10918,534429.2854,3103.2854,172.21
10919,3853995.2374,150330.2345,25.64
10922,18626078.0809,164585.4382,113.17
10923,2473434.0208,24969.4294,99.06
10924,4507133.5781000005,25787.1932,174.78
10925,300.2641,18.086100000000002,16.6
10927,67237.5266,846.8075,79.4
10932,275343.3273,103.80160000000001,2652.59
10934,11658128.6034,82536.3387,141.25
10935,30713686.628200002,409102.1726,75.08
10936,8902307.7793,38308.4597,232.38
10937,56940935.7538,762620.4199,74.66
10938,2475877.1468,7635.6957,324.25
10939,6994505.8662,41424.1839,168.85
10942,460722.0867,2781.1576,165.66
10944,2335837.1564,28111.4796,83.09
10945,12617811.8435,49820.2395,253.27
10946,34607923.3147,2550375.6003,13.57
10948,66809.2918,47.5597,1404.75
10951,179854.8007,16087.6325,11.18
10952,371477880.3338,20247267.4768,18.35
10955,658.2474,11.5571,56.96
10957,1800022.9195,7291.9905,246.85
10960,1574017.8824,4366.2938,360.49
10961,6003108.3796,51503.432,116.56
10962,22755134.6648,87095.308,261.27
10965,175775.3611,208.7748,841.94
10966,230193157.5362,186758.1324,1232.57
10967,11609.1799,64.1255,181.04
10971,162317.2762,3492.5063,46.48
10972,3930.4149,48.125,81.67
10973,597845359.2846,2054042.9033,291.06
10974,44674.4674,1963.6894,22.75
10976,4850393.2511,147397.013,32.91
10979,17874.482,164.9714,108.35
10982,208469.0874,209.9222,993.08
10983,300702.7931,9206.6497,32.66
10985,49121.8182,1025.3922,47.91
10986,761701.4318,5825.5816,130.75
10987,142494843.9843,575790.8878,247.48
10988,44858663.968,26045.5759,1722.31
10991,36437518.4973,893945.8714000001,40.76
10992,2644490.464,361873.2895,7.31
10994,31116.8652,156.5853,198.72
10995,669.7787,49.8901,13.43
10998,1526858.0842,47215.8325,32.34
11000,30287443.062,311007.1902,97.39
11001,461069461.7884,1554403.8975,296.62
11003,48817575.9361,571972.715,85.35
11005,88647856.6066,260049.8904,340.89
11008,267913100.5232,14896972.0373,17.98
11011,3191820.8666,16500.1718,193.44
11013,3272583.3883,13871.1457,235.93
11014,1118460.7841,5411.9117,206.67
11016,2945.9453,44.097,66.81
11019,14977881.2732,276187.7316,54.23
11020,1417666.9205,18262.0274,77.63
11021,82473326.8566,1576436.3472,52.32
11025,12736173.8996,60395.7574,210.88
11026,9603690.3104,44611.5332,215.27
11027,4247964.1364,12581.5953,337.63
11028,2137904.8739,62965.2489,33.95
11030,432731.46020000003,5736.5152,75.43
11032,175.457,51.2709,3.42
11033,570142680.3633,30222157.6653,18.87
11034,12900.8479,259.2054,49.77
11035,159418.8508,12316.8312,12.94
11037,29249051.2953,389254.0958,75.14
11038,7419.8359,140.0011,53.0
11039,53000310.3358,1608078.4502,32.96
11040,71515593.6986,1344011.8807,53.21
11042,22984.281,449.6967,51.11
11043,8431840.0162,190811.9961,44.19
11045,2085803.9856,35639.4223,58.53
11049,247537.1495,7209.4824,34.33
11050,282.348,4.4365,63.64
11051,271275628.4352,542997.714,499.59
11053,1043.4188,42.8286,24.36
11054,834133.5997,14799.8545,56.36
11057,46519466.6027,1503508.5789,30.94
11060,13838929.8916,11007.4838,1257.23
11062,149490.2526,761.2028,196.39
11064,70212365.4986,488140.6459,143.84
11065,186634.1837,2194.3787,85.05
11066,2131428.3138,59284.2563,35.95
11067,14676.9818,402.9919,36.42
11068,903707.679,2659.7304,339.77
11071,3944746.1176,16798.4341,234.83
11075,36434891.201,596107.8854,61.12
11076,6583012.0728,77087.7487,85.4
11080,55025153.2655,179207.1777,307.05
11082,3305.1027,105.51769999999999,31.32
11083,4066790.2266,79681.0232,51.04
11086,143789622.8491,6334633.8584,22.7
11088,318259.7884,21211.2841,15.0
11089,2915085.5695,47028.7177,61.99
11090,742748.1563,3434.1941,216.28
11091,168520.8818,294.825,571.6
11092,372903826.1641,1040460.9126,358.4
11093,305922.5232,736.8291,415.19
11094,230143.9285,20548.0924,11.2
11096,8731.9553,128.4477,67.98
11098,250096.5112,4287.6304,58.33
11100,40062.717,341.382,117.35
11102,21058340.9045,1280999.8033,16.44
11103,41754.1353,443.75579999999997,94.09
11106,2263242.4371,53190.9138,42.55
11107,27231703.4388,951124.4818,28.63
11108,20378778.5377,653131.0076,31.2
11109,133383.5114,4084.3292,32.66
11110,52633.9848,1677.2417,31.38
11112,1549985.6434,36650.252,42.29
11113,197046898.6508,4492550.6597,43.86
11114,11657553.4444,308247.0256,37.82
11115,1394687.9686,29800.6908,46.8
11116,195636441.561,1710919.3005,114.35
11117,6026903.119,52316.7777,115.2
11121,3841526.2005,94956.9187,40.46
11122,2910120.9928,13816.0484,210.63
11123,929.3919,6.664,139.46
11124,67.8621,0.6624,102.45
11127,43212425.2816,490250.9786,88.14
11130,36479990.2893,43329.8273,841.91
11131,745.3933999999999,31.6791,23.53
11132,632899.5629,13221.8821,47.87
11134,28001791.746,541879.2677,51.68
11135,2845.602,13.045599999999999,218.13
11137,2610336018.3024,43321754.8869,60.25
11139,599284.1132,9149.9646,65.5
11140,247683816.31260002,1819385.8724,136.14
11141,6979.4868,346.7158,20.13
11143,306828.2677,5348.5455999999995,57.37
11144,7025682.3786,64890.4914,108.27
11145,38121.5697,75.5885,504.33
11146,313074.5546,9191.556199999999,34.06
